Date,VIX,SMB,HML,MKT,MOM,STR,RVAR,BAB,QMJ,TERM_SPREAD,CREDIT_SPREAD,10Y,3M,OIL,DOLLAR,TED,SKEW,LEVERAGE,TSMOM,MOMCM,MOMEQ,MOMFI,MOMFX,HMLD,ECU,MACVOL,BULL,NEUT,BEAR,BULL_BEAR_SPREAD,BULL_BEAR_RATIO,MOV_AVG_BULL,SP500
1991-01-31,20.91,2.4,-0.05,4.27,-2.63,-1.93,7.579999999999999,-6.4085179841799995,-0.9306191446279999,1.66,2.3,7.85,6.19,-24.26160337552743,-0.4982104596805592,0.87,121.65,-0.19775,-0.332949367137,0.29207715328100003,-3.0127452102000003,-6.685653514389999,3.81153872142,1.13309645231,100.44,0.7685227509891144,25.8,30.0,44.2,-18.4,0.622703081232493,25.75,343.93
1991-02-28,21.23,4.24,-0.84,7.18,-2.21,1.93,9.69,1.48540148555,-3.27651981322,1.8,2.09,8.11,6.04,-11.049210770659235,1.4022493492669819,0.84,116.37,-0.35716,-2.14632357334,2.72214244207,-13.5592727891,-5.06942161591,-0.239172665887,2.99001355898,175.69,0.9253121394312225,47.25,24.0,28.75,18.5,1.739356884057971,35.875,367.07
1991-03-29,16.88,4.34,-3.0,2.44,3.17,0.52,5.640000000000001,1.17130490871,-0.593564794667,2.13,1.96,8.04,5.74,2.4530271398747416,4.550959434248258,0.63,105.67,-0.4502,-1.89675001139,-1.3339153047899999,-3.5010711973100004,-2.16652561179,-1.49667916607,-0.996616178401,46.51,1.0109754789386096,48.5,25.5,26.0,22.5,1.8877494586040313,47.875,375.22
1991-04-30,18.24,-0.05,1.25,-0.17,-1.17,1.57,-1.17,4.79065020018,0.0669610854119,2.34,1.83,8.07,5.51,6.775343861436589,-0.13026130157438587,0.68,109.06,-0.45169,3.35279920337,4.81049968652,-1.49784387636,2.97150641226,4.815475901969999,0.854630289179,254.81,1.0033119011100644,48.75,30.25,21.0,27.75,2.407005347593583,48.625,375.35
1991-05-31,15.93,-0.07,-0.01,3.59,0.5,0.08,-2.78,1.24377720932,-0.40617685177100005,2.35,1.77,8.28,5.53,0.8110687022900631,0.8397862834907066,0.53,117.2,-0.39987,-0.755614048455,-0.338007134016,-2.47645422516,1.5709686632000002,-1.7120505810900002,-0.637373783059,114.99,0.9457283138599398,39.8,34.6,25.6,14.2,1.5687290969899665,42.0,389.83
1991-06-28,19.55,0.75,0.57,-4.71,0.01,2.06,-4.23,2.59809052485,2.33660015335,2.53,1.66,8.27,5.54,-2.6975863700899216,1.4036007465626277,0.65,114.98,-0.34147,0.8654321430949999,1.2541820666499999,7.3733586534199995,-7.3337702273500005,0.8027056347250001,1.42236438287,83.55,0.8866133679583372,41.25,36.25,22.5,18.75,2.0980614973262033,40.625,371.16
1991-07-31,15.18,-0.78,-2.54,3.99,4.66,2.13,-0.5300000000000002,0.42482379007,0.09663835787689999,2.5,1.6,7.9,5.53,5.447470817120625,-0.6771836843086576,0.53,111.5,-0.28184,-2.52208243228,-3.87912956689,-1.71317773037,2.19444495039,-3.8982800615900004,-2.3593737724299997,259.33,0.7801318715253848,32.75,42.75,24.5,8.25,1.4118741765480896,37.0,387.81
1991-08-30,14.46,1.17,-1.66,2.17,2.81,-2.92,2.22,1.2442699588300001,-0.025070655716500002,2.33,1.75,7.65,5.33,2.6752767527675303,-0.028301698955268684,0.36,115.36,-0.21068,3.44704516131,0.617643168185,2.60354499326,12.3957469699,3.06532256956,-1.73397304189,108.68,0.685146655114913,33.8,38.0,28.2,5.6,1.2704591846691256,34.0,395.43
1991-09-30,15.85,1.85,-0.77,-1.7,1.91,-0.76,-1.92,2.7333854567199998,-1.1081516509,2.21,1.94,7.53,5.11,-0.13477088948787852,-1.8924828470180066,0.51,112.13,-0.18062,2.5530572174999997,-0.49850137161,-2.12715574205,17.3791729271,1.51936732841,-0.41030578161400005,145.93,0.6408206398238466,35.5,39.0,25.5,10.0,1.519949494949495,34.75,387.86
1991-10-31,15.48,0.96,-0.26,1.45,2.28,-1.18,0.8899999999999997,2.1813057215300002,-0.757785430139,2.51,2.02,7.42,4.82,5.128205128205132,0.3220539530998989,0.43,109.63,-0.19126,0.632395239063,-3.73975903101,0.9037376627799999,8.14930560386,3.06888481737,-0.672112977288,111.26,0.6702841681411007,37.4,29.2,33.4,4.0,1.1556138306138306,36.625,392.46
1991-11-29,20.26,-0.35,-2.18,-4.16,0.67,-0.4,-5.41,2.6728282313,3.36662023953,2.91,2.06,7.09,4.35,-8.087291399229779,-0.1675201667396542,0.65,110.22,-0.24616,0.00289202546824,4.27729643742,-6.82381433139,1.53888336012,-3.3812801509100003,-1.2286639669800001,296.7,0.6829826871225153,37.75,32.0,30.25,7.5,1.3838362068965517,37.875,375.22
1991-12-31,19.31,-2.99,-5.33,10.03,8.3,1.06,-1.29,-2.9477553995399997,1.72259324715,2.75,2.39,7.03,3.88,-10.986964618249528,-1.7964435976360216,0.37,113.55,-0.32114,7.50626616748,10.8849968043,6.084914448179999,22.0074613659,-7.0079621229899995,-7.18359765114,189.76,0.6755936588054852,32.75,31.75,35.5,-2.75,0.9633001923887834,35.25,417.09
1992-01-31,17.4,8.16,3.84,-0.68,-1.03,5.22,19.04,4.92423259985,-4.39468383246,3.37,1.9,7.34,3.84,-1.1506276150627714,2.1082427870085185,0.35,110.93,-0.41901,-1.5551646213699999,-2.0719916462800003,3.75100214755,-6.941880380390001,-0.9961296463789999,4.4832171701500005,112.98,0.6380240132746978,48.2,23.8,28.0,20.2,1.7298042740022719,43.625,408.79
1992-02-28,16.68,0.8,4.83,1.0,-0.48,-2.9,1.97,3.6142981756,-1.11037736621,3.24,1.9,7.54,3.93,-1.1640211640211562,1.5208131795145574,0.32,109.06,-0.46448,-0.186608957144,-2.40737554595,4.46252086574,1.44583648664,-0.690347874008,3.28433684841,123.52,0.5504009221935542,43.0,32.0,25.0,18.0,1.7338553113553112,45.5,412.7
1992-03-31,16.18,-1.58,4.23,-2.74,-0.61,-1.09,-3.66,2.4450420087,1.1597811980200001,3.39,1.7,7.48,4.05,4.068522483940051,1.3117192866682004,0.32,109.86,-0.48147,-1.8290660658400002,0.854024864587,-0.11218334000699999,-11.1001385935,-1.85501313088,2.97678673743,144.18,0.49002184428736273,43.5,32.0,24.5,19.0,1.7949196536153058,43.25,403.69
1992-04-30,15.53,-5.77,3.4,1.12,-2.8,-3.38,-12.48,-0.274094779414,1.12610443476,3.82,1.63,7.39,3.7,7.253086419753085,0.35151457297437627,0.36,113.24,-0.5042,1.9652791903,3.36902953327,3.64953883326,3.75778186601,-3.18343881642,5.389663344170001,75.3,0.5182803751568525,39.2,35.4,25.4,13.8,1.7955859213250516,40.625,414.95
